ID,Category,Indicator,Public_API,Class,Source_File,Inputs,Parameters,Outputs,TA_Lib_Reference,Recursive_Stateful,Complexity,Phase,Status,Parity_Target,Notes
1,Primitive,Simple Moving Average,ta.sma,SMA,trend.py,close,period,series,SMA,No,Low,1,Migrated; parity PASS,bit-exact,Core building block; rolling mean
2,Primitive,Exponential Moving Average,ta.ema,EMA,trend.py,close,period,series,EMA,Yes,Low,1,Migrated; parity PASS,1e-12 rel,Recursive; SMA-seeded; building block
3,Primitive,Weighted Moving Average,ta.wma,WMA,trend.py,close,period,series,WMA,No,Low,1,Migrated; parity PASS,bit-exact,Linear-weighted window; building block
4,Primitive,Wilder RMA / SMMA,(internal),utils_ema,utils.py,series,period,series,—,Yes,Low,1,Kernel parity PASS,1e-12 rel,RMA smoothing used by RSI/ATR/ADX
5,Primitive,Rolling Std Dev,(internal),stdev,utils.py,series,period,series,STDDEV,No,Low,1,Kernel parity PASS,1e-12 rel,Used by BBands/Keltner/HV
6,Primitive,True Range,ta.true_range,TRANGE,volatility.py,"high,low,close",—,series,TRANGE,No,Low,1,Migrated; parity PASS,bit-exact,Building block for ATR/NATR/DMI
7,Primitive,Highest,ta.highest,(util),utils.py,series,period,series,MAX,No,Low,1,Kernel parity PASS,bit-exact,Rolling max; Donchian/Stoch/Aroon dep
8,Primitive,Lowest,ta.lowest,(util),utils.py,series,period,series,MIN,No,Low,1,Kernel parity PASS,bit-exact,Rolling min
9,Primitive,Change,ta.change,(util),utils.py,"series,length",—,series,—,No,Low,1,Kernel parity PASS,bit-exact,n-period difference
10,Primitive,Rate of Change,ta.roc,ROC,oscillators.py,close,period,series,ROC,No,Low,1,Kernel parity PASS,1e-12 rel,Percent change over period
11,Primitive,Rolling Median,ta.median,MEDIAN,statistics.py,close,period,series,—,No,Low,1,Not Started,bit-exact,MedianBands dependency
12,Trend,Double EMA,ta.dema,DEMA,trend.py,close,period,series,DEMA,Yes,Low,2,Migrated; parity PASS,1e-12 rel,2*EMA - EMA(EMA)
13,Trend,Triple EMA,ta.tema,TEMA,trend.py,close,period,series,TEMA,Yes,Low,2,Migrated; parity PASS,1e-12 rel,Composite of EMA
14,Trend,Triangular MA,ta.trima,TRIMA,trend.py,close,period,series,TRIMA,No,Low,2,Migrated; parity PASS,bit-exact,Double-smoothed SMA
15,Trend,Hull MA,ta.hma,HMA,trend.py,close,period,series,—,No,Medium,2,Migrated; parity PASS,1e-12 rel,WMA composite + sqrt period
16,Trend,Volume Weighted MA,ta.vwma,VWMA,trend.py,"close,volume",period,series,—,No,Low,2,Migrated; parity PASS,1e-12 rel,SMA(price*vol)/SMA(vol)
17,Trend,Zero-Lag EMA,ta.zlema,ZLEMA,trend.py,close,period,series,—,Yes,Low,2,Migrated; parity PASS,1e-12 rel,EMA of de-lagged price
18,Trend,Arnaud Legoux MA,ta.alma,ALMA,trend.py,close,"period,offset,sigma",series,—,No,Medium,2,Migrated; parity PASS,1e-12 rel,Gaussian-weighted window
19,Trend,T3 MA,ta.t3,T3,trend.py,close,"period,v_factor",series,T3,Yes,Medium,2,Migrated; parity PASS,1e-12 rel,6x cascaded EMA (GD)
20,Trend,Supertrend,ta.supertrend,Supertrend,trend.py,"high,low,close","period,multiplier","supertrend,direction",—,Yes,High,3,Migrated; parity PASS,bit-exact,Stateful band-flip logic; ATR-based
21,Trend,Ichimoku Cloud,ta.ichimoku,Ichimoku,trend.py,"high,low,close","conversion,base,span2,displacement","conv,base,spanA,spanB,lagging",—,No,High,3,Migrated; parity PASS,bit-exact,Multi-line; forward/back displacement
22,Trend,Kaufman Adaptive MA,ta.kama,KAMA,trend.py,close,"length,fast,slow",series,KAMA,Yes,High,3,Migrated; parity PASS,1e-12 rel,Adaptive efficiency-ratio recursion
